month,price,carbon,load,solar,net_no_battery,soc,net_battery,actions,actions_kwh
7.0,0.22,0.1707244126403808,0.7714333333333336,0.0,0.7714333333333336,0.0,0.7714333333333336,-0.1339294,-0.7714333333333336
8.0,0.22,0.1573190581037597,0.5158833333333334,0.0,0.5158833333333334,0.0,0.5158833333333334,-0.08956308,-0.5158833333333334
8.0,0.22,0.1545025601953125,0.5030500000000001,0.0,0.5030500000000001,0.0,0.5030500000000001,-0.08733507,-0.5030500000000001
8.0,0.22,0.1509448778981933,0.5359500000000001,0.0,0.5359500000000001,0.0,0.5359500000000001,-0.093046874,-0.5359500000000001
8.0,0.22,0.1518198641750488,0.5126166666666666,0.0,0.5126166666666666,0.0,0.5126166666666666,-0.08899595,-0.5126166666666666
8.0,0.22,0.1580882182441406,0.3032166666666665,0.0,0.3032166666666665,0.0,0.3032166666666665,-0.052641783,-0.3032166666666665
8.0,0.22,0.1619393621623535,0.4957833333333335,0.1172,0.3785833333333335,0.0,0.3785833333333335,-0.06572627,-0.3785833333333335
8.0,0.22,0.164345968935791,0.9805,0.70575,0.27475000000000005,0.0,0.27475000000000005,-0.047699653,-0.27475000000000005
8.0,0.22,0.1909981533635253,1.299583333333333,1.3696666666666668,-0.07008333333333372,0.0,-0.07008333333333372,0.012167245,0.07008333333333372
8.0,0.22,0.202898866493164,1.6788,1.9332833333333332,-0.2544833333333332,0.011084887877670964,-0.17661296437581364,0.044181135,0.2544833333333332
8.0,0.22,0.212871689040039,2.1846333333333336,2.357883333333333,-0.17324999999999946,0.05133581773054164,0.10950924392928085,0.030078124,0.17324999999999946
8.0,0.22,0.2257099151513672,2.067416666666666,2.592766666666667,-0.5253500000000009,0.07873830439190795,-0.33285005900368647,0.091206595,0.5253500000000009
8.0,0.22,0.2346078929833984,1.0379833333333333,2.6317833333333334,-1.5938,0.1618314790809533,-1.0100780423149296,0.2767014,1.5938
8.0,0.22,0.2428606982099609,0.6705166666666666,2.481,-1.8104833333333332,0.4153542183015961,-0.03959600541891639,0.31432003,1.8104833333333332
8.0,0.22,0.242239251699707,2.0011666666666668,2.1532833333333334,-0.15211666666666668,0.7047866288226545,1.8595269416281734,0.026409144,0.15211666666666668
