month,price,carbon,load,solar,net_no_battery,soc,net_battery,actions,actions_kwh
7.0,0.22,0.1707244126403808,1.0096232096354177e-07,0.0,1.0096232096354177e-07,0.0,1.0096232096354177e-07,-1.7528182e-08,-1.0096232096354177e-07
8.0,0.22,0.1573190581037597,1.0185241699218762e-07,0.0,1.0185241699218762e-07,0.0,1.0185241699218762e-07,-1.768271e-08,-1.0185241699218762e-07
8.0,0.22,0.1545025601953125,1.0083516438802096e-07,0.0,1.0083516438802096e-07,0.0,1.0083516438802096e-07,-1.7506105e-08,-1.0083516438802096e-07
8.0,0.22,0.1509448778981933,1.0070800781250013e-07,0.0,1.0070800781250013e-07,0.0,1.0070800781250013e-07,-1.7484028e-08,-1.0070800781250013e-07
8.0,0.22,0.1518198641750488,1.0159810384114597e-07,0.0,1.0159810384114597e-07,0.0,1.0159810384114597e-07,-1.7638559e-08,-1.0159810384114597e-07
8.0,0.22,0.1580882182441406,9.943644205729169e-08,0.0,9.943644205729169e-08,0.0,9.943644205729169e-08,-1.7263272e-08,-9.943644205729169e-08
8.0,0.22,0.1619393621623535,1.0421673456827808e-07,0.027283333333333337,-0.027283229116598768,0.0,-0.027283229116598768,0.0047366717,0.027283229116598768
8.0,0.22,0.164345968935791,1.0063846906026214e-07,0.1367,-0.13669989936153093,0.004315313281702687,-0.10638520054618517,0.023732621,0.13669989936153093
8.0,0.22,0.1909981533635253,0.4059333680470783,0.4404666666666666,-0.034533298619588315,0.02593676031477506,0.11735547360867588,0.0059953644,0.034533298619588315
8.0,0.22,0.202898866493164,0.1293167622884115,0.9994500000000001,-0.8701332377115886,0.031398800301977864,-0.8317629110516207,0.1510648,0.8701332377115886
8.0,0.22,0.212871689040039,0.5406833609263104,1.6134666666666666,-1.0727833057403562,0.16902538229070832,-0.10596876363532748,0.1862471,1.0727833057403562
8.0,0.22,0.2257099151513672,0.6703000000000002,2.143466666666667,-1.4731666666666667,0.33870468921459745,-0.2811863614247532,0.2557581,1.4731666666666667
8.0,0.22,0.2346078929833984,2.1257333333333333,2.52135,-0.3956166666666667,0.5723830717761949,1.241232173552166,0.068683445,0.3956166666666667
